                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1602,                 2.2689,                 2.4854,                0.90287,                0.74553,                0.81603,                0.46577,                 1.5335,                 1.5746,                 1.6854,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.5207,                  1.132,                 1.6857,                0.92228,                0.81818,                0.88604,                0.48812,                 1.5585,                 1.1865,                 1.6771,              0.0011679,              0.0011679,              0.0011679
                      3,                 1.4297,                 1.0085,                 1.6001,                0.93357,                0.83061,                0.89737,                0.47857,                 1.6072,                 1.0618,                 1.6643,              0.0015046,              0.0015046,              0.0015046
                      4,                 1.3627,                0.91185,                 1.5388,                0.94514,                0.88415,                0.93587,                0.53812,                 1.4483,                0.79528,                 1.5154,              0.0012575,              0.0012575,              0.0012575
                      5,                  1.306,                0.83513,                 1.4839,                0.96244,                0.88947,                0.94502,                 0.5705,                 1.3745,                0.73887,                 1.4547,                0.00101,                0.00101,                0.00101
                      6,                 1.2618,                0.78513,                 1.4499,                0.94984,                 0.9149,                0.94934,                0.58456,                 1.3706,                  0.687,                 1.4392,              0.0007625,              0.0007625,              0.0007625
                      7,                 1.2361,                0.74061,                  1.423,                0.95521,                0.91651,                0.95324,                 0.6055,                 1.3203,                 0.6568,                 1.4046,               0.000515,               0.000515,               0.000515
                      8,                 1.1944,                 0.7014,                 1.3921,                0.96887,                0.91976,                0.95671,                0.59662,                  1.353,                0.62257,                 1.4059,              0.0002675,              0.0002675,              0.0002675
